feedback_text,rating
"the app is terrible and crashes every time I open it",1
"terrible service, nobody answered my calls",1
"a terrible experience from beginning to end",1
"the delivery was terrible and arrived very late",1
"terrible quality, the product broke immediately",1
"the website is terribly slow and badly designed",1
"terrible support, they never replied to me",1
"the interface is terrible and confusing to use",2
"very slow service and the staff were unhelpful",2
"the app is painfully slow on my phone",2
"slow loading and constant errors on every page",1
"the checkout is slow and often fails",2
"extremely slow support, I waited three days",1
"the website is slow and the search never works",2
"slow delivery and poor packaging",2
"everything is slow since the last update",2
"the response time is slow and frustrating",2
"slow, buggy and completely unreliable",1
"bad quality and a very bad price",1
"the service was bad and the staff were rude",1
"badly designed and badly documented",2
"a bad experience, I would not recommend it",1
"the app behaves badly on older phones",2
"bad support, they simply ignored my complaint",1
"the product quality is bad for the price",2
"poor service and poor communication throughout",1
"poor quality materials, it broke in a week",1
"poor support, nobody seems to care",1
"the app has poor performance and crashes often",2
"poor value for money, very disappointing",1
"poor documentation, nothing is explained",2
"a poor experience with rude and unhelpful staff",1
"poor design makes the website hard to use",2
"poor delivery, the item arrived damaged",1
"awful service, I am very disappointed",1
"the quality is awful and the price is high",1
"an awful experience, the app never works",1
"awful support, they were rude on the phone",1
"the interface is awful and very slow",1
"awful, nothing about this works properly",1
"the worst service I have ever received",1
"the worst app I have used this year",1
"the worst quality for the worst price",1
"worst support team, completely unhelpful",1
"this is the worst experience imaginable",1
"the app is broken and nobody will fix it",1
"the checkout page is broken again",1
"broken features and no support at all",1
"the search is broken and returns nothing",2
"the login is broken since the update",2
"everything feels broken and unfinished",1
"the app crashes constantly on my device",1
"it crashed three times while I was ordering",1
"the website crashed and I lost my data",1
"crashes every time I try to upload a file",2
"the app crashed and deleted my account",1
"it crashes whenever the network is slow",2
"constant crashes make it useless",1
"very disappointing quality and slow delivery",2
"disappointing service, nothing worked as promised",1
"I am disappointed with the poor support",1
"disappointed, the app is slow and buggy",2
"a disappointing product at a high price",2
"very disappointed with the rude staff",1
"disappointing performance, it crashes often",2
"frustrating to use and very slow",2
"a frustrating experience with bad support",1
"frustrating design, nothing is where I expect",2
"very frustrating, the app fails constantly",1
"frustrating delays and poor communication",2
"the whole process is frustrating and slow",2
"useless app, it never does what I need",1
"useless support, they could not help at all",1
"the search feature is useless",2
"a useless product, complete waste of money",1
"useless documentation, badly written",2
"the staff were rude and completely unhelpful",1
"rude service and a bad attitude",1
"the support team was rude on every call",1
"rude staff made a bad experience worse",1
"unhelpful support and slow responses",2
"the staff were unhelpful and poorly trained",1
"unhelpful answers to every question I asked",2
"an unhelpful service with no real solutions",2
"far too expensive for such poor quality",2
"expensive and it does not even work",1
"very expensive with bad support",2
"the price is expensive and the service is slow",2
"expensive, slow and disappointing",1
"buggy software that crashes constantly",1
"the app is buggy and badly tested",2
"buggy and slow, a poor experience",2
"too buggy to use for real work",1
"the payment failed three times today",1
"it fails every time I submit the form",2
"the upload fails and shows no error",2
"the app failed during checkout again",1
"everything fails when the server is slow",2
"my order failed and nobody could explain why",1
"the delivery was late and badly packaged",2
"very late delivery with no updates",2
"the item arrived late and damaged",1
"late responses and unhelpful answers",2
"the service is always late and slow",2
"a complete waste of money and time",1
"waste of money, the quality is poor",1
"what a waste, it never worked once",1
"a waste of time dealing with rude support",1
"horrible quality and horrible service",1
"a horrible experience, everything was slow",1
"horrible design and a confusing interface",1
"horrible support, they never called back",1
"the item never arrived and support never replied",1
"it never works when I actually need it",1
"they never fixed the problem I reported",1
"the notifications never arrive on time",2
"it does not work on my laptop at all",1
"the feature does not work as advertised",2
"nothing works properly since the update",1
"the app does not work and support is unhelpful",1
"it is okay but nothing special",3
"okay service, neither good nor bad",3
"the app is okay for basic tasks",3
"okay quality for the price",3
"an okay experience, nothing memorable",3
"the support was okay but slow",3
"okay design although the layout is dated",3
"it is okay once you get used to it",3
"the delivery was okay but the packaging was poor",3
"okay performance, could be faster",3
"an average product at an average price",3
"average service with average support",3
"the app is average, nothing stands out",3
"average quality, it does the job",3
"an average experience overall",3
"average speed and average reliability",3
"the website is average but usable",3
"average documentation, could be clearer",3
"the staff were average, polite but slow",3
"an average design with average features",3
