feedback_text,rating
great design and smooth performance,4
"excellent support, they fixed it quickly",5
"love this app, easy and reliable",5
everything worked perfectly the first time,5
my order failed and nobody could explain why,1
"an essential app, fast and reliable",5
acceptable design although it feels dated,3
everything feels broken and unfinished,1
"poor delivery, the item arrived damaged",1
"a mixed experience, fine app but slow support",3
"excellent documentation, clear and helpful",4
the support team was rude on every call,1
it never works when I actually need it,1
"useless documentation, badly written",2
impressed with the design and features,4
crashes every time I try to upload a file,2
"terrible quality, the product broke immediately",1
wonderful service and friendly staff,5
the app is fast but crashes sometimes,3
the app is okay for basic tasks,3
the service was acceptable but slow,3
the design is plain but the app is functional,3
"awful, nothing about this works properly",1
acceptable overall with room for improvement,3
"very fast performance, no delays at all",5
an ordinary app with ordinary features,3
not bad but not good either,3
a polished and professional product,5
the feature does not work as advertised,2
the price is fair and the quality is great,4
the app works but feels unfinished,3
the update made everything much faster,4
good performance even on an old laptop,4
the service is ordinary but dependable,3
"decent features, average performance",3
nice design but slow performance,3
works well on desktop but badly on mobile,3
the search is broken and returns nothing,2
reliable support that always helps,4
everything is slow since the last update,2
an unexceptional but working product,3
the app is painfully slow on my phone,2
very disappointing quality and slow delivery,2
wonderful quality for a good price,5
the website crashed and I lost my data,1
"excellent delivery, arrived the next day",5
"a good experience overall, very satisfied",4
"perfect delivery, quick and undamaged",5
unhelpful support and slow responses,2
satisfactory but unremarkable,3
"it is fine when it works, which is usually",3
"excellent all round, fast service and great support",5
bad quality and a very bad price,1
smooth performance and a clean design,4
quality varies from day to day,3
"acceptable support, eventually helpful",3
fine quality although a little expensive,3
"a pleasure to use, well done to the team",5
fantastic service and great quality,5
the product quality is bad for the price,2
"an awful experience, the app never works",1
very slow service and the staff were unhelpful,2
I am impressed with how fast it is,4
poor service and poor communication throughout,1
excellent quality at a great price,5
works flawlessly on every device I own,5
the interface is terrible and confusing to use,2
"the best service, helpful and quick",5
it does most of what I need,3
the quality is excellent and the price is fair,5
"delivery was fine, nothing unusual",3
the worst quality for the worst price,1
it does not work on my laptop at all,1
"tolerable, though I have used better apps",3
brilliant quality and fast delivery,5
"fast support, they replied within minutes",5
they never fixed the problem I reported,1
the interface is awful and very slow,1
the worst service I have ever received,1
an average experience overall,3
superb service from a friendly team,5
an unhelpful service with no real solutions,2
ordinary quality at an ordinary price,3
"a standard app, nothing new here",3
a brilliant app that just works,5
"useless support, they could not help at all",1
friendly staff but the service was slow,3
"perfect quality, exactly as described",5
great quality and great value for money,5
friendly staff and excellent quality,5
impressed by the helpful support team,5
"a horrible experience, everything was slow",1
everything fails when the server is slow,2
an easy and pleasant experience,4
helpful staff but a very slow process,3
"fantastic app, fast and well designed",5
"a wonderful app, fast and easy",5
an excellent experience from start to finish,5
"poor documentation, nothing is explained",2
the best quality for the best price,5
quick delivery and excellent packaging,5
it is alright but could be improved,3
"okay performance, could be faster",3
the support was okay but slow,3
"good quality product, arrived quickly",4
"disappointed, the app is slow and buggy",2
the app is fast and reliable,5
a fair product for a fair price,3
easy checkout and fast delivery,4
I am satisfied with both price and quality,4
the upload fails and shows no error,2
an average design with average features,3
"terrible support, they never replied to me",1
no major problems and no real highlights,3
smooth checkout and fast delivery,4
"fine service, nothing to complain about",3
frustrating to use and very slow,2
it is okay but nothing special,3
quick setup and smooth performance,4
exceeded my expectations in every way,5
it is okay once you get used to it,3
"horrible support, they never called back",1
I would recommend this to anyone,5
excellent design and easy to use,5
good service and good quality,4
very impressed with the quality and speed,5
far too expensive for such poor quality,2
the search feature is useless,2
the quality is alright for the price,3
"the staff were average, polite but slow",3
"mixed feelings, some parts are good and some are poor",3
good idea but average execution,3
excellent performance on every device,4
I love the friendly support team,5
the staff were unhelpful and poorly trained,1
it crashes whenever the network is slow,2
"okay service, neither good nor bad",3
expensive and it does not even work,1
very disappointed with the rude staff,1
a passable design with weak search,3
adequate quality for basic needs,3
